Step,Target_Conc_ppm,Actual_Conc_ppm,Base_Flow_Lmin,Variable_Flow_Lmin,Variable_Instrument,Timestamp
1,0.00,0.00,0.9978,0.0000,0,2025-12-15T16:13:19.358263
2,10.00,3326.16,0.9995,1.9862,8,2025-12-15T16:13:26.158131
3,20.00,4000.02,0.9998,3.9992,8,2025-12-15T16:13:31.912980
4,30.00,4288.24,0.9999,6.0241,8,2025-12-15T16:13:38.968268
5,40.00,4447.32,0.9999,8.0461,8,2025-12-15T16:13:44.945344
6,50.00,4548.07,0.9999,10.0630,5,2025-12-15T16:13:51.560813
7,60.00,4618.91,0.9999,12.1190,5,2025-12-15T16:13:57.502448
8,70.00,4670.63,0.9999,14.1790,5,2025-12-15T16:14:04.441709
9,80.00,4709.92,0.9999,16.2345,5,2025-12-15T16:14:10.556515
10,90.00,4740.99,1.0000,18.3039,5,2025-12-15T16:14:17.320182
11,100.00,4766.30,1.0000,20.3943,5,2025-12-15T16:14:23.335859
